dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.901836,1.293856,2.192890,0.480393,-1.296154,-0.033536,0.074564
0.020000,1.910903,1.294502,2.201980,0.454498,-1.294737,0.070866,0.067581
0.020000,1.919458,1.295053,2.210552,0.428618,-1.294021,0.035780,0.061009
0.020000,1.927500,1.295519,2.218608,0.402794,-1.291217,0.140189,0.054846
0.020000,1.935030,1.295911,2.226147,0.376973,-1.291042,0.008774,0.049088
0.020000,1.942046,1.296237,2.233171,0.351209,-1.288187,0.142767,0.043735
0.020000,1.948550,1.296505,2.239681,0.325461,-1.287383,0.040163,0.038784
0.020000,1.954549,1.296724,2.245683,0.300132,-1.266459,1.046227,0.034226
0.020000,1.960061,1.296901,2.251198,0.275745,-1.219380,2.353936,0.030046
0.020000,1.965107,1.297043,2.256247,0.252431,-1.165684,2.684800,0.026226
0.020000,1.969708,1.297156,2.260849,0.230115,-1.115772,2.495606,0.022749
0.020000,1.973885,1.297245,2.265027,0.208901,-1.060709,2.753143,0.019597
0.020000,1.977659,1.297313,2.268801,0.188703,-1.009908,2.540034,0.016754
0.020000,1.981049,1.297366,2.272192,0.169532,-0.958567,2.567083,0.014202
0.020000,1.984077,1.297405,2.275220,0.151421,-0.905539,2.651401,0.011926
0.020000,1.986764,1.297434,2.277907,0.134324,-0.854872,2.533336,0.009909
0.020000,1.989129,1.297456,2.280272,0.118264,-0.802976,2.594808,0.008135
0.020000,1.991194,1.297471,2.282337,0.103255,-0.750456,2.625983,0.006587
0.020000,1.992979,1.297482,2.284122,0.089256,-0.699958,2.524886,0.005250
0.020000,1.994504,1.297489,2.285648,0.076273,-0.649127,2.541558,0.004108
0.020000,1.995791,1.297493,2.286934,0.064327,-0.597303,2.591194,0.003146
0.020000,1.996859,1.297496,2.288003,0.053418,-0.545475,2.591425,0.002347
0.020000,1.997729,1.297498,2.288872,0.043473,-0.497218,2.412866,0.001697
0.020000,1.998421,1.297499,2.289564,0.034598,-0.443754,2.673186,0.001180
0.020000,1.998955,1.297500,2.290099,0.026735,-0.393157,2.529835,0.000780
0.020000,1.999353,1.297500,2.290496,0.019885,-0.342479,2.533913,0.000483
0.020000,1.999634,1.297500,2.290777,0.014051,-0.291739,2.537016,0.000273
0.020000,1.999819,1.297500,2.290962,0.009232,-0.240953,2.539276,0.000135
0.020000,1.999927,1.297500,2.291071,0.005429,-0.190137,2.540826,0.000054
0.020000,1.999980,1.297500,2.291123,0.002643,-0.139301,2.541801,0.000015
0.020000,1.999998,1.297500,2.291141,0.000874,-0.088454,2.542336,0.000002
0.020000,2.000000,1.297500,2.291143,0.000122,-0.037602,2.542567,0.000000
0.020000,2.000000,1.297500,2.291143,0.000000,-0.006088,1.575717,0.000000
